ファイル名	クラス名	行数	関数・プロパティ名	目的	呼び出し元	依存クラス	備考	不明点
acc_clsDbConnector.txt	acc_clsDbConnector	41	Init	DAO.Database（CurrentDb）を初期化し内部に保持する		DAO,com_clsCalcHelperなど		
acc_clsDbConnector.txt	acc_clsDbConnector	41	Get DB	内部保持している DAO.Database を返すプロパティ		DAO,com_clsCalcHelperなど		
acc_clsDbConnector.txt	acc_clsDbConnector	41	ExecuteSQL	SQL文を実行する。エラー発生時の動作切替が可能		DAO,com_clsCalcHelperなど		
acc_clsTableCleaner.txt	acc_clsTableCleaner	46	Init	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
acc_clsTableCleaner.txt	acc_clsTableCleaner	46	AddTable	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
acc_clsTableCleaner.txt	acc_clsTableCleaner	46	ClearAll	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
acc_clsTableTransfer.txt	acc_clsTableTransfer	69	Init	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
acc_clsTableTransfer.txt	acc_clsTableTransfer	69	AddSetting	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
acc_clsTableTransfer.txt	acc_clsTableTransfer	69	ExecuteAll	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
acc_clsTransactionManager.txt	acc_clsTransactionManager	62	Init	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
acc_clsTransactionManager.txt	acc_clsTransactionManager	62	BeginTransaction	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
acc_clsTransactionManager.txt	acc_clsTransactionManager	62	Commit	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
acc_clsTransactionManager.txt	acc_clsTransactionManager	62	Rollback	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	Let	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	Get	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	Get	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	GetYear	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	GetMonth	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	GetDay	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	GetDateValue	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	GetFiscalYear	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	GetPeriod	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	GetQuarter	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsDateMath.txt	com_clsDateMath	183	RoundToDigits	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsStringHelper.txt	com_clsStringHelper	71	SplitToArray	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsStringHelper.txt	com_clsStringHelper	71	JoinArray	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsStringHelper.txt	com_clsStringHelper	71	ToUpper	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsStringHelper.txt	com_clsStringHelper	71	ToLower	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsStringHelper.txt	com_clsStringHelper	71	ContainsText	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
com_clsStringHelper.txt	com_clsStringHelper	71	ReplaceAll	テーブルデータ処理の一部機能（自動補正、日付処理など）	mod_inp4_Icube など	DAO, com_clsCalcHelper など	分析完了（実処理内容に基づく）	
